	Z	Initial_Ion	Initial Level	Final_Ion	Final Level	N	L	2S+1	Temperature	Rate
6695	14	101	1	100	47	12	0	2	8.621738e-04	3.620760e-09
6696	14	101	1	100	47	12	0	2	1.085413e-03	3.196537e-09
6697	14	101	1	100	47	12	0	2	1.366454e-03	2.819812e-09
6698	14	101	1	100	47	12	0	2	1.720263e-03	2.485536e-09
6699	14	101	1	100	47	12	0	2	2.165683e-03	2.189021e-09
6700	14	101	1	100	47	12	0	2	2.726433e-03	1.926238e-09
6701	14	101	1	100	47	12	0	2	3.432376e-03	1.693479e-09
6702	14	101	1	100	47	12	0	2	4.321105e-03	1.487545e-09
6703	14	101	1	100	47	12	0	2	5.439948e-03	1.305480e-09
6704	14	101	1	100	47	12	0	2	6.848490e-03	1.144721e-09
6705	14	101	1	100	47	12	0	2	8.621738e-03	1.003784e-09
6706	14	101	1	100	47	12	0	2	1.085412e-02	8.859100e-10
6707	14	101	1	100	47	12	0	2	1.366454e-02	8.069932e-10
6708	14	101	1	100	47	12	0	2	1.720263e-02	7.979219e-10
6709	14	101	1	100	47	12	0	2	2.165683e-02	8.857485e-10
6710	14	101	1	100	47	12	0	2	2.726433e-02	1.063555e-09
6711	14	101	1	100	47	12	0	2	3.432375e-02	1.281297e-09
6712	14	101	1	100	47	12	0	2	4.321105e-02	1.469500e-09
6713	14	101	1	100	47	12	0	2	5.439948e-02	1.573767e-09
6714	14	101	1	100	47	12	0	2	6.848491e-02	1.574126e-09
6715	14	101	1	100	47	12	0	2	8.621738e-02	1.483578e-09
6716	14	101	1	100	47	12	0	2	1.085412e-01	1.335887e-09
6717	14	101	1	100	47	12	0	2	1.366454e-01	1.171522e-09
6718	14	101	1	100	47	12	0	2	1.720263e-01	1.023624e-09
6719	14	101	1	100	47	12	0	2	2.165683e-01	9.075897e-10
6720	14	101	1	100	47	12	0	2	2.726433e-01	8.199923e-10
6721	14	101	1	100	47	12	0	2	3.432375e-01	7.472575e-10
6722	14	101	1	100	47	12	0	2	4.321105e-01	6.763160e-10
6723	14	101	1	100	47	12	0	2	5.439948e-01	6.011741e-10
6724	14	101	1	100	47	12	0	2	6.848491e-01	5.237452e-10
6725	14	101	1	100	47	12	0	2	8.621738e-01	4.506606e-10
6726	14	101	1	100	47	12	0	2	1.085412e+00	3.881501e-10
6727	14	101	1	100	47	12	0	2	1.366453e+00	3.382128e-10
6728	14	101	1	100	47	12	0	2	1.720264e+00	2.983321e-10
6729	14	101	1	100	47	12	0	2	2.165683e+00	2.640465e-10
6730	14	101	1	100	47	12	0	2	2.726433e+00	2.317236e-10
6731	14	101	1	100	47	12	0	2	3.432375e+00	1.998482e-10
6732	14	101	1	100	47	12	0	2	4.321103e+00	1.689545e-10
6733	14	101	1	100	47	12	0	2	5.439951e+00	1.409580e-10
6734	14	101	1	100	47	12	0	2	6.848491e+00	1.181626e-10
6735	14	101	1	100	47	12	0	2	8.621738e+00	1.019131e-10
6736	14	101	1	100	47	12	0	2	1.085412e+01	9.164315e-11
