	Z	Initial_Ion	Initial Level	Final_Ion	Final Level	N	L	2S+1	Temperature	Rate
33837	32	105	1	104	50	12	0	1	8.621738e-02	2.598127e-10
33838	32	105	1	104	50	12	0	1	1.457085e+01	2.528714e-12
33839	32	105	1	104	50	12	0	1	2.907268e+01	1.109175e-12
33840	32	105	1	104	50	12	0	1	5.800758e+01	4.133326e-13
33841	32	105	1	104	50	12	0	1	1.157404e+02	1.039921e-13
33842	32	105	1	104	50	12	0	1	2.309323e+02	7.619033e-14
33843	32	105	1	104	50	12	0	1	4.607707e+02	5.583411e-14
33844	32	105	1	104	50	12	0	1	6.508560e+02	4.778596e-14
33845	32	105	1	104	50	12	0	1	9.193588e+02	4.090724e-14
33846	32	105	1	104	50	12	0	1	1.298628e+03	3.501870e-14
33847	32	105	1	104	50	12	0	1	1.834361e+03	2.997781e-14
33848	32	105	1	104	50	12	0	1	2.591104e+03	2.565664e-14
33849	32	105	1	104	50	12	0	1	3.660032e+03	2.196340e-14
33850	32	105	1	104	50	12	0	1	5.169934e+03	1.880184e-14
33851	32	105	1	104	50	12	0	1	7.302720e+03	1.609164e-14
33852	32	105	1	104	50	12	0	1	1.031538e+04	1.377527e-14
33853	32	105	1	104	50	12	0	1	1.457085e+04	1.363326e-14
33854	32	105	1	104	50	12	0	1	8.621738e+04	6.395870e-15
33855	32	105	1	104	51	12	0	3	8.621738e-02	7.794538e-10
33856	32	105	1	104	51	12	0	3	1.457085e+01	7.585778e-12
33857	32	105	1	104	51	12	0	3	2.907268e+01	3.327365e-12
33858	32	105	1	104	51	12	0	3	5.800758e+01	1.239938e-12
33859	32	105	1	104	51	12	0	3	1.157404e+02	3.119605e-13
33860	32	105	1	104	51	12	0	3	2.309323e+02	2.285600e-13
33861	32	105	1	104	51	12	0	3	4.607707e+02	1.674943e-13
33862	32	105	1	104	51	12	0	3	6.508560e+02	1.433507e-13
33863	32	105	1	104	51	12	0	3	9.193588e+02	1.227156e-13
33864	32	105	1	104	51	12	0	3	1.298628e+03	1.050511e-13
33865	32	105	1	104	51	12	0	3	1.834361e+03	8.992912e-14
33866	32	105	1	104	51	12	0	3	2.591104e+03	7.696621e-14
33867	32	105	1	104	51	12	0	3	3.660032e+03	6.588704e-14
33868	32	105	1	104	51	12	0	3	5.169934e+03	5.640270e-14
33869	32	105	1	104	51	12	0	3	7.302720e+03	4.827248e-14
33870	32	105	1	104	51	12	0	3	1.031538e+04	4.132382e-14
33871	32	105	1	104	51	12	0	3	1.457085e+04	4.089781e-14
33872	32	105	1	104	51	12	0	3	8.621738e+04	1.918669e-14
