	Z	Ion	Initial Level	Final Level	Energy	Strength	Rate
0	14	98	2	1	4.996373e-01	0.000000e+00	1.520000e+00
1	14	98	3	1	6.899469e-01	0.000000e+00	2.190000e-05
2	14	98	3	2	1.903095e-01	0.000000e+00	2.020000e-01
3	14	98	4	1	5.773735e+00	0.000000e+00	1.310000e+01
4	14	98	4	2	5.274084e+00	0.000000e+00	3.380000e+00
5	14	98	4	3	5.083773e+00	0.000000e+00	4.240000e-04
6	14	98	5	1	1.231634e+01	0.000000e+00	6.550000e-02
7	14	98	5	2	1.181662e+01	0.000000e+00	1.380000e+02
8	14	98	5	4	6.542584e+00	0.000000e+00	3.260000e+00
9	14	98	6	1	4.502584e+01	6.930000e-01	1.280000e+10
10	14	98	6	2	4.452617e+01	2.290000e-01	4.130000e+09
11	14	98	6	4	3.925219e+01	1.700000e-03	2.400000e+07
12	14	98	7	1	4.547422e+01	2.340000e-01	7.330000e+09
13	14	98	7	2	4.497455e+01	1.390000e-01	4.250000e+09
14	14	98	7	3	4.478415e+01	1.840000e-01	5.590000e+09
15	14	98	7	4	3.970041e+01	0.000000e+00	1.620000e+06
16	14	98	7	5	3.315789e+01	0.000000e+00	5.200000e+06
17	14	98	8	2	4.521946e+01	1.860000e-01	1.730000e+10
18	14	98	9	1	6.269057e+01	2.600000e-03	1.620000e+08
19	14	98	9	2	6.219088e+01	0.000000e+00	3.680000e+06
20	14	98	9	3	6.200054e+01	0.000000e+00	9.580000e+06
21	14	98	9	4	5.691673e+01	1.192000e+00	6.080000e+10
22	14	98	9	5	5.037421e+01	1.030000e-01	4.280000e+09
23	14	98	10	7	5.979204e+01	0.000000e+00	4.660000e+07
24	14	98	10	9	4.257569e+01	6.390000e-01	5.620000e+10
25	14	98	12	1	1.754326e+03	7.530000e-01	2.020000e+13
26	14	98	12	2	1.753855e+03	2.520000e-01	6.750000e+12
27	14	98	12	4	1.748315e+03	2.160000e-03	5.760000e+10
28	14	98	13	1	1.754898e+03	2.540000e-01	1.130000e+13
29	14	98	13	2	1.754426e+03	1.510000e-01	6.740000e+12
30	14	98	13	3	1.754227e+03	2.010000e-01	9.010000e+12
31	14	98	13	4	1.748857e+03	8.990000e-04	4.000000e+10
32	14	98	13	5	1.742908e+03	8.240000e-07	3.640000e+07
33	14	98	13	10	1.646524e+03	1.910000e-05	7.520000e+08
34	14	98	14	2	1.754724e+03	2.020000e-01	2.700000e+13
35	14	98	15	1	1.762331e+03	7.260000e-04	3.280000e+10
36	14	98	15	2	1.761855e+03	4.700000e-04	2.120000e+10
37	14	98	15	3	1.761655e+03	9.590000e-08	4.330000e+06
38	14	98	15	4	1.756290e+03	1.050000e+00	4.690000e+13
39	14	98	15	5	1.750339e+03	1.910000e-01	8.490000e+12
40	14	98	15	10	1.653949e+03	7.480000e-03	2.970000e+11
41	14	98	16	6	1.755544e+03	5.040000e-01	2.260000e+13
42	14	98	16	7	1.755096e+03	3.020000e-01	1.350000e+13
43	14	98	16	8	1.754873e+03	1.010000e-01	4.500000e+12
44	14	98	16	9	1.736731e+03	8.870000e-05	3.890000e+09
45	14	98	17	7	1.767356e+03	9.120000e-05	1.240000e+10
46	14	98	17	9	1.749005e+03	3.030000e-01	4.050000e+13
